;;;;;;;
Fragebogen;;;;;;;
;;;;Computer;Lampe;Ipad;Beemer
1;Welches Ger�t verbraucht am Tag am meisten Strom?;;;;;;
;;M�dchen;5a;0;3;0;7
;;;5b;0;2;0;13
;;;5c;1;9;1;8
;;;6a;0;12;0;1
;;;6b;;;;
;;;6c;0;1;0;12
;;;7a;;;;
;;;7b;;;;
;;;7c;0;2;0;9
;;;8a;1;1;0;14
;;;8b;0;5;0;6
;;;8c;0;0;0;14
;;;9a;;;;
;;;9b;0;0;0;17
;;;;9c;;;;
;;;�konomie 1 (10);0;0;1;9
;;;�konomie 2 (10);;;;
;;;Musik (10);0;0;0;4
;;;NWT (10);0;0;2;7
;;Lehrer;0;0;0;7
;;Jungen;5a;0;3;0;7
;;;5b;0;2;0;13
;;;5c;1;9;1;8
;;;6a;0;12;0;1
;;;6b;;;;
;;;6c;0;1;0;12
;;;7a;;;;
;;;7b;;;;
;;7c;0;2;0;9
;;;8a;1;1;0;14
;;;8b;0;5;0;6
;;;8c;0;0;0;14
;;;9a;;;;
;;;9b;0;0;0;17
;;;9c;;;;
;;;�konomie 1 (10);0;0;1;9
;;;�konomie 2 (10);;;;
;;;Musik (10);0;0;0;4
;;;NWT (10);0;0;2;7
;;;Lehrer;0;0;0;7
